day,time,key,value
30,"22	",KV,"	0.0189999999999912"
30,"23	",KV,"	0.0290000000000106"
31,"00	",KV,"	0"
31,"01	",KV,"	0"
31,"02	",KV,"	0"
31,"03	",KV,"	0"
31,"04	",KV,"	0"
31,"05	",KV,"	0"
31,"06	",KV,"	0"
31,"07	",KV,"	0.00399999999999068"
31,"08	",KV,"	0.00400000000000489"
31,"09	",KV,"	0.0150000000000006"
31,"10	",KV,"	0.0240000000000009"
31,"11	",KV,"	0.0499999999999972"
31,"12	",KV,"	0.0529999999999973"
31,"13	",KV,"	0"
31,"14	",KV,"	0"
31,"15	",KV,"	0.00200000000000955"
31,"16	",KV,"	0"
31,"17	",KV,"	0.00599999999998602"
31,"18	",KV,"	0.00500000000000966"
31,"19	",KV,"	0.00499999999999545"
31,"20	",KV,"	0.0130000000000052"
31,"21	",KV,"	0.0450000000000017"
31,"22	",KV,"	0.0189999999999912"
31,"23	",KV,"	0.00500000000000966"
1,"00	",KV,"	0.00399999999999068"
1,"01	",KV,"	0"
1,"02	",KV,"	0"
1,"03	",KV,"	0"
1,"04	",KV,"	0"
1,"05	",KV,"	0"
1,"06	",KV,"	0"
1,"07	",KV,"	0"
1,"08	",KV,"	0.00300000000000011"
1,"09	",KV,"	0.0180000000000007"
1,"10	",KV,"	0.0810000000000031"
1,"11	",KV,"	0.0529999999999973"
1,"12	",KV,"	0.0670000000000073"
1,"13	",KV,"	0.039999999999992"
1,"14	",KV,"	0"
1,"15	",KV,"	0.00800000000000978"
1,"16	",KV,"	0.0119999999999862"
1,"17	",KV,"	0.0150000000000006"
1,"18	",KV,"	0.0300000000000011"
1,"19	",KV,"	0"
1,"20	",KV,"	0.0100000000000051"
1,"21	",KV,"	0.0180000000000007"
1,"22	",KV,"	0"
1,"23	",KV,"	0.00400000000000489"
2,"00	",KV,"	0"
2,"01	",KV,"	0"
2,"02	",KV,"	0"
2,"03	",KV,"	0"
2,"04	",KV,"	0.0120000000000005"
2,"05	",KV,"	0.0219999999999914"
2,"06	",KV,"	0"
2,"07	",KV,"	0"
2,"08	",KV,"	0.00300000000000011"
2,"09	",KV,"	0.0139999999999958"
2,"10	",KV,"	0.0430000000000064"
2,"11	",KV,"	0"
2,"12	",KV,"	0"
2,"13	",KV,"	0"
2,"14	",KV,"	0"
2,"15	",KV,"	0.0130000000000052"
2,"16	",KV,"	0.00699999999999079"
2,"17	",KV,"	0"
2,"18	",KV,"	0"
2,"19	",KV,"	0.0640000000000072"
